time,value
2024-07-29T05:47:50.830114309Z,792
2024-07-29T05:47:51.970887647Z,791
2024-07-29T05:47:52.997250404Z,22
2024-07-29T05:47:54.020240185Z,7
2024-07-29T05:47:55.040223911Z,791
2024-07-29T05:47:57.190135902Z,792
2024-07-29T05:47:58.320359884Z,791
2024-07-29T05:47:59.340387399Z,9
2024-07-29T05:48:00.370253895Z,7
2024-07-29T05:48:01.390413376Z,8
2024-07-29T05:48:02.410436786Z,9
2024-07-29T05:48:03.440383955Z,7
2024-07-29T05:48:05.590140237Z,792
2024-07-29T05:48:06.620460066Z,4
2024-07-29T05:48:07.640652731Z,791
2024-07-29T05:48:09.89027027Z,792
2024-07-29T05:48:10.81034168Z,791
2024-07-29T05:48:11.931077787Z,22
2024-07-29T05:48:12.960399309Z,791
2024-07-29T05:48:16.240107169Z,792
2024-07-29T05:48:17.670253131Z,7
2024-07-29T05:48:17.987150881Z,9
2024-07-29T05:48:19.31037658Z,6
2024-07-29T05:48:20.330130669Z,10
2024-07-29T05:48:21.560351951Z,7
2024-07-29T05:48:22.380271034Z,9
2024-07-29T05:48:23.530265778Z,791
2024-07-29T05:48:24.530061786Z,9
2024-07-29T05:48:25.590303696Z,6
2024-07-29T05:48:26.690310174Z,9
2024-07-29T05:48:27.747203721Z,4
2024-07-29T05:48:28.630405183Z,5
2024-07-29T05:48:30.680404559Z,23
2024-07-29T05:48:31.700314451Z,5
2024-07-29T05:48:32.829292658Z,791
2024-07-29T05:48:34.032260476Z,6
2024-07-29T05:48:34.900438368Z,7
2024-07-29T05:48:37.947139999Z,16
2024-07-29T05:48:38.970155372Z,4
2024-07-29T05:48:40.000267424Z,791
2024-07-29T05:48:41.020359743Z,4
2024-07-29T05:48:42.150309718Z,791
2024-07-29T05:48:43.160405903Z,7
2024-07-29T05:48:44.200204005Z,6
2024-07-29T05:48:47.360304156Z,791
2024-07-29T05:48:48.379251921Z,16
2024-07-29T05:48:49.420287602Z,9
2024-07-29T05:48:50.430297351Z,7
2024-07-29T05:48:51.57023744Z,8
2024-07-29T05:48:52.807080985Z,10
2024-07-29T05:48:53.217470241Z,5
2024-07-29T05:48:54.530491011Z,8
2024-07-29T05:48:55.560355053Z,7
2024-07-29T05:48:56.690762593Z,9
2024-07-29T05:48:57.60035148Z,6
2024-07-29T05:48:58.632103624Z,7
2024-07-29T05:48:59.760391498Z,791
