Timestamp,x,y,z
2024-08-26 20:48:49,0.73, 0.43, 0.49
2024-08-26 20:48:51,0.37, 0.55, 0.55
2024-08-26 20:48:53,0.31, 0.49, 0.55
2024-08-26 20:48:55,0.12, 0.49, 0.55
2024-08-26 20:48:57,0.31, 0.49, 0.55
2024-08-26 20:48:59,0.06, 0.49, 0.55
2024-08-26 20:49:01,0.24, 0.55, 0.55
2024-08-26 20:49:03,0.31, 0.49, 0.55
2024-08-26 20:49:05,0.37, 0.49, 0.49
2024-08-26 20:49:07,0.24, 0.49, 0.55
2024-08-26 20:49:09,0.49, 0.55, 0.49
2024-08-26 20:49:11,0.24, 0.49, 0.55
2024-08-26 20:49:13,0.31, 0.49, 0.49
2024-08-26 20:49:15,0.31, 0.49, 0.55
2024-08-26 20:49:17,0.43, 0.49, 0.49
2024-08-26 20:49:20,-0.37, 0.49, 0.55
2024-08-26 20:49:22,0.92, 0.55, 0.49
2024-08-26 20:49:24,0.43, 0.55, 0.55
2024-08-26 20:49:26,0.24, 0.49, 0.55
2024-08-26 20:49:28,0.18, 0.49, 0.49
2024-08-26 20:49:30,0.61, 0.49, 0.49
2024-08-26 20:49:32,0.73, 0.49, 0.49
2024-08-26 20:49:34,0.37, 0.49, 0.49
2024-08-26 20:49:36,0.31, 0.49, 0.55
2024-08-26 20:49:38,0.24, 0.49, 0.49
2024-08-26 20:49:40,0.24, 0.49, 0.55
2024-08-26 20:49:42,0.31, 0.49, 0.55
2024-08-26 20:49:44,0.24, 0.49, 0.55
2024-08-26 20:49:46,0.24, 0.49, 0.49
2024-08-26 20:49:48,0.37, 0.49, 0.49
2024-08-26 20:49:50,0.31, 0.49, 0.49
2024-08-26 20:49:52,0.24, 0.49, 0.49
2024-08-26 20:49:54,0.24, 0.49, 0.55
2024-08-26 20:49:56,0.24, 0.49, 0.55
2024-08-26 20:49:59,0.18, 0.49, 0.55
2024-08-26 20:50:01,0.24, 0.49, 0.49
2024-08-26 20:50:03,0.37, 0.43, 0.55
2024-08-26 20:50:05,0.12, 0.49, 0.49
2024-08-26 20:50:07,0.37, 0.49, 0.49
2024-08-26 20:50:09,0.24, 0.55, 0.55
2024-08-26 20:50:11,0.24, 0.49, 0.55
2024-08-26 20:50:13,0.31, 0.49, 0.55
2024-08-26 20:50:15,0.43, 0.49, 0.49
2024-08-26 20:50:17,0.31, 0.49, 0.55
2024-08-26 20:50:19,0.24, 0.49, 0.55
2024-08-26 20:50:21,0.37, 0.49, 0.49
2024-08-26 20:50:23,0.18, 0.55, 0.49
2024-08-26 20:50:25,0.37, 0.49, 0.55
2024-08-26 20:50:27,0.31, 0.49, 0.49
2024-08-26 20:50:29,0.24, 0.49, 0.49
2024-08-26 20:50:31,0.24, 0.49, 0.55
2024-08-26 20:50:33,0.31, 0.49, 0.49
2024-08-26 20:50:35,0.31, 0.49, 0.49
2024-08-26 20:50:37,0.43, 0.55, 0.49
2024-08-26 20:50:39,0.24, 0.49, 0.55
2024-08-26 20:50:41,0.37, 0.49, 0.49
2024-08-26 20:50:43,0.24, 0.55, 0.55
2024-08-26 20:50:45,0.37, 0.49, 0.55
2024-08-26 20:50:48,0.31, 0.49, 0.55
2024-08-26 20:50:50,0.31, 0.49, 0.55
2024-08-26 20:50:52,0.31, 0.49, 0.55
2024-08-26 20:50:54,0.24, 0.49, 0.55
2024-08-26 20:50:56,0.24, 0.49, 0.49
2024-08-26 20:50:58,0.31, 0.49, 0.49
2024-08-26 20:51:00,0.24, 0.49, 0.49
2024-08-26 20:51:02,0.31, 0.49, 0.49
2024-08-26 20:51:04,0.37, 0.49, 0.55
2024-08-26 20:51:06,0.24, 0.55, 0.49
2024-08-26 20:51:08,0.37, 0.49, 0.55
2024-08-26 20:51:10,0.12, 0.49, 0.55
2024-08-26 20:51:12,0.24, 0.49, 0.49
2024-08-26 20:51:14,0.31, 0.49, 0.49
2024-08-26 20:51:16,0.24, 0.49, 0.55
2024-08-26 20:51:18,0.24, 0.55, 0.55
2024-08-26 20:51:20,0.31, 0.49, 0.55
2024-08-26 20:51:22,0.31, 0.49, 0.49
2024-08-26 20:51:24,0.31, 0.49, 0.55
2024-08-26 20:51:26,0.37, 0.49, 0.55
